# Table 2 of McDonough & Sun, Chemical Geology 120 (1995) 223 253
# Units are parts per milion in mass (mug/g)
element	this study	Anders&G	Palme	Wasson&K
Li	1.50E+00	1.50E+00	1.45E+00	1.57E+00
Be	0.025	0.025	0.025	0.027
B	0.9	0.87	0.27	1.2
C	3.50E+04	3.45E+04	3.50E+04	3.20E+04
N	3.18E+03	3.18E+03	3.18E+03	1.50E+03
F	60	60.7	54	64
Na	5100	5000	5020	4900
Mg	9.65E+04	9.89E+04	9.40E+04	9.70E+04
Al	8.60E+03	8.68E+03	8.20E+03	8.60E+03
Si	1.07E+05	1.06E+05	1.07E+05	1.05E+05
P	1080	1220	1010	1020
S	5.40E+04	6.25E+04	5.80E+04	5.90E+04
Cl	680	704	678	680
K	550	558	517	560
Ca	9.25E+03	9.28E+03	9.00E+03	9.20E+03
Sc	5.92	5.82	5.9	5.8
Ti	440	436	440	420
V	56	56.5	56	55
Cr	2650	2660	2670	2650
Mn	1920	1990	1820	1900
Fe	1.81E+05	1.90E+05	1.83E+05	1.82E+05
Co	500	502	501	508
Ni	10500	11000	10800	10700
Cu	1200	126	108	121
Zn	310	312	347	312
Ga	9.2	10	9.1	9.8
Ge	31	32.7	31.3	33
As	1.85	1.86	1.85	1.84
Se	21	18.6	18.9	19.6
Br	3.57	3.57	3.56	3.6
Rb	2.3	2.3	2.06	2.22
Sr	7.25	7.8	8.6	7.9
Y	1.57	1.56	1.57	1.44
Zr	3.82	3.94	3.87	3.8
Nb	2.40E-01	2.46E-01	2.46E-02	2.70E-01
Mo	9.00E-01	9.28E-01	9.20E-01	9.20E-01
Ru	7.10E-01	7.12E-01	6.90E-01	7.10E-01
Rh	1.30E-01	1.34E-01	1.30E-01	1.34E-01
Pd	5.50E-01	5.60E-01	5.30E-01	5.60E-01
Ag	2.00E-01	1.99E-01	2.10E-01	2.08E-01
Cd	7.10E-01	6.86E-01	7.70E-01	6.50E-01
In	8.00E-02	8.00E-02	8.00E-02	8.00E-02
Sn	1.65E+00	1.72E+00	1.75E+00	1.72E+00
Sb	1.40E-01	1.42E-01	1.30E-01	1.53E-01
Te	2.33E+00	2.32E+00	2.34E+00	2.40E+00
I	4.50E-01	4.33E-01	5.60E-01	5.00E-01
Cs	1.90E-01	1.87E-01	1.90E-01	1.83E-01
Ba	2.41E+00	2.34E+00	2.60E+00	2.30E+00
La	0.237	0.2347	0.245	0.236
Ce	0.613	0.6032	0.638	0.616
Pr	0.0928	0.0891	0.096	0.0929
Nd	0.457	0.4524	0.474	0.457
Sm	0.148	0.1471	0.154	0.149
Eu	0.0563	0.056	0.058	0.056
Gd	0.199	0.1966	0.204	0.197
Tb	0.0361	0.0363	0.037	0.0355
Dy	0.246	0.2427	0.254	0.245
Ho	0.0546	0.0556	0.057	0.0547
Er	0.16	0.1589	0.166	0.16
Tm	0.0247	0.0242	0.026	0.0247
Yb	0.161	0.1625	0.165	0.159
Lu	0.0246	0.0243	0.025	0.0245
Hf	0.103	0.104	0.106	0.12
Ta	0.0136	0.0142	0.014	0.016
W	0.093	0.0926	0.093	0.1
Re	0.04	0.0365	0.037	0.037
Os	0.49	0.486	0.49	0.49
Ir	0.455	0.481	0.38	0.46
Pt	1.01	0.99	1.05	0.99
Au	0.14	0.14	0.14	0.144
Hg	0.3	0.258	5.3	0.39
Tl	0.14	0.142	0.14	0.142
Pb	2.47	2.47	2.43	2.4
Bi	0.11	0.114	0.11	1.1
Th	0.029	0.0294	0.029	0.029
U	0.0074	0.0081	0.0082	0.0082
