# Table 2 of Biazzo+2015 XO-2
# XO2N and XO2S are relative to solar, i.e., "[X/H]"
# TC from Lodders 2003
Element,TC,XO2N,XO2N_error,XO2S,XO2S_error,deltaXH,deltaXH_error
C,  40,   0.41,  0.04,  0.36,  0.05,  0.050,  0.02
N,  123,  0.47,  0.05,  0.49,  0.05,  -0.020, 0.02
O,  180,  0.32,  0.03,  0.27,  0.03,  0.050,  0.02
Na, 958,  0.485, 0.043, 0.445, 0.043, 0.040,  0.011
Mg, 1336, 0.377, 0.051, 0.333, 0.048, 0.044,  0.011
Al, 1653, 0.440, 0.139, 0.343, 0.141, 0.097,  0.017
Si, 1310, 0.471, 0.082, 0.419, 0.082, 0.052,  0.010
S,  664,  0.530, 0.020, 0.525, 0.025, 0.005,  0.027
Ca, 1517, 0.365, 0.075, 0.301, 0.065, 0.064,  0.023
Sc, 1659, 0.462, 0.067, 0.388, 0.060, 0.074,  0.009
Ti, 1582, 0.456, 0.096, 0.351, 0.091, 0.105,  0.030
V,  1429, 0.431, 0.060, 0.329, 0.062, 0.102,  0.013
Cr, 1296, 0.423, 0.059, 0.339, 0.054, 0.084,  0.043
Mn, 1158, 0.576, 0.065, 0.506, 0.074, 0.070,  0.043
Fe, 1334, 0.370, 0.072, 0.315, 0.078, 0.055,  0.013
Co, 1352, 0.524, 0.127, 0.448, 0.126, 0.076,  0.009
Ni, 1353, 0.538, 0.094, 0.455, 0.096, 0.083,  0.020
Cu, 1037, 0.627, 0.109, 0.542, 0.107, 0.085,  0.019
Zn, 726,  0.467, 0.044, 0.427, 0.059, 0.040,  0.023
Y,  1659, 0.472, 0.134, 0.360, 0.110, 0.112,  0.036
Zr, 1741, 0.460, 0.084, 0.350, 0.084, 0.110,  0.026
Ba, 1455, 0.410, 0.022, 0.310, 0.049, 0.100,  0.049
La, 1578, 0.530, 0.036, 0.460, 0.022, 0.070,  0.014
Nd, 1602, 0.547, 0.151, 0.460, 0.147, 0.087,  0.013
Eu, 1356, 0.520, 0.108, 0.477, 0.104, 0.043,  0.091
