# Mack et al. 2014 ApJ 787 98 Table 1.
elem,HD20782,HD20782_error1,HD20782_error2,HD20781,HD20781_error1,HD20781_error2
C,  -0.07, 0.03, 0.04, -0.09, 0.03, 0.04
O,  +0.04, 0.01, 0.05, -0.08, 0.04, 0.07
Na, -0.08, 0.02, 0.03, -0.06, 0.03, 0.05
Mg, +0.04, 0.01, 0.06, +0.10, 0.00, 0.05
Al, -0.01, 0.00, 0.02, +0.04, 0.00, 0.03
Si, -0.02, 0.01, 0.02, -0.01, 0.01, 0.02
Ca, +0.04, 0.01, 0.05, +0.06, 0.03, 0.06
Sc, -0.03, 0.02, 0.06, +0.04, 0.02, 0.05
Ti, +0.06, 0.01, 0.05, +0.12, 0.02, 0.06
V,  -0.01, 0.01, 0.04, +0.10, 0.02, 0.07
Cr, -0.05, 0.01, 0.03, +0.03, 0.02, 0.05
Mn, -0.01, 0.06, 0.07, +0.04, 0.05, 0.07
Fe, -0.02, 0.01, 0.02, +0.04, 0.01, 0.03
Co, -0.05, 0.01, 0.03, +0.03, 0.01, 0.04
Ni, -0.02, 0.01, 0.03, +0.01, 0.01, 0.03
