# McDonough 2001, Earthquake Thermodynamics and Phase Transformation in the Earth's interior Ch 1.
# Table 1.1 (bse, bulk silicate earth), 1.2 (core), 1.3 (bulk earth)
element,bulkearth,bse,core
H,  260,      100,    600
Li, 1.1,      1.6,    0
Be, 0.05,     0.07,   0
B,  0.2,      0.3,    0
C,  730,      120,    2000
N,  25,       2,      75
O,  2.97E+05, 44e4,   0
F,  10,       15,     0
Na, 1.80E+03, 0.27e4, 0
Mg, 1.54E+05, 22.8e4, 0
Al, 1.59E+04, 2.35e4, 0
Si, 1.61E+05, 21e4,   6e4
P,  1210,     90,     3500
S,  6350,     250,    19000
Cl, 76,       17,     200
K,  1.60E+02, 240,    0
Ca, 1.71E+04, 2.53e4, 0
Sc, 10.9,     16,     0
Ti, 810,      1200,   0
V,  105,      82,     150
Cr, 4700,     2625,   9000
Mn, 1700,     1045,   3000
Fe, 3.19E+05, 6.26e4, 85e4
Co, 880,      105,    2500
Ni, 18200,    1960,   52000
Cu, 60,       30,     125
Zn, 40,       55,     0
Ga, 3,        4,      0
Ge, 7,        1.1,    20
As, 1.7,      0.05,   5
Se, 2.7,      0.075,  8
Br, 0.3,      0.05,   0.7
Rb, 0.4,      0.60,   0
Sr, 13,       20,     0
Y,  2.9,      4.3,    0
Zr, 7.1,      10.5,   0
Nb, 0.44,     0.66,   0
Mo, 1.7,      0.05,   5
Ru, 1.3,      0.005,  4
Rh, 0.24,     0.001,  0.74
Pd, 1,        0.004,  3.1
Ag, 0.05,     0.008,  0.15
Cd, 0.08,     0.04,   0.15
In, 0.007,    0.01,   0
Sn, 0.25,     0.13,   0.5
Sb, 0.05,     0.006,  0.13
Te, 0.3,      0.012,  0.85
I,  0.05,     0.01,   0.13
Cs, 0.035,    0.021,  0.065
Ba, 4.5,      6.6,    0
La, 0.44,     0.65,   0
Ce, 1.13,     1.68,   0
Pr, 0.17,     0.25,   0
Nd, 0.84,     1.25,   0
Sm, 0.27,     0.41,   0
Eu, 0.10,     0.15,   0
Gd, 0.37,     0.54,   0
Tb, 0.067,    0.10,   0
Dy, 0.46,     0.67,   0
Ho, 0.10,     0.15,   0
Er, 0.30,     0.44,   0
Tm, 0.046,    0.068,  0
Yb, 0.30,     0.44,   0
Lu, 0.046,    0.068,  0
Hf, 0.19,     0.28,   0
Ta, 0.025,    0.037,  0
W,  0.17,     0.029,  0.47
Re, 0.075,    0.0003, 0.23
Os, 0.9,      0.003,  2.8
Ir, 0.9,      0.003,  2.6
Pt, 1.9,      0.007,  5.7
Au, 0.16,     0.001,  0.5
Hg, 0.02,     0.01,   0.05
Tl, 0.012,    0.004,  0.03
Pb, 0.23,     0.15,   0.4
Bi, 0.01,     0.003,  0.03
Th, 0.055,    0.08,   0
U,  0.015,    0.02,   0
