# Table 4 of Ramirez+2015
# Relative Abundances XO-2N - XO-2S
# Units: None,(K),(dex),(dex),
Species,T_C,Delta[X/H],Error
C I,     40,   0.009,      0.009
CH,      40,   0.015,      0.006
O I,     180,  0.013,      0.008
Na I,    958,  0.035,      0.009
Mg I,    1336, 0.074,      0.012
Al I,    1653, 0.087,      0.018
Si I,    1310, 0.070,      0.006
S I,     664,  0.024,      0.008
K I,     1006, 0.008,      0.027
Ca I,    1517, 0.071,      0.009
Sc I,    1659, 0.102,      0.024
Sc II,   1659, 0.076,      0.010
Ti I,    1582, 0.085,      0.009
Ti II,   1582, 0.082,      0.010
V I,     1429, 0.078,      0.009
Cr I,    1296, 0.044,      0.008
Cr II,   1296, 0.067,      0.011
Mn I,    1158, 0.035,      0.008
Fe I,    1334, 0.054,      0.005
Fe II,   1334, 0.058,      0.007
Co I,    1352, 0.058,      0.006
Ni I,    1353, 0.061,      0.006
Cu I,    1037, 0.055,      0.011
Zn I,    726,  0.020,      0.006
Rb I,    800,  0.019,      0.017
Y II,    1659, 0.082,      0.019
Zr II,   1741, 0.116,      0.026
Ba II,   1455, 0.074,      0.017
