# Teske et al. 2016 ApJ 819 19 Table 3.
Species,Tc,deltaX/H,Error,deltaX/H_nostrong,Error_nostrong
C I, 40, -0.032, 0.006, -0.032, 0.006
CH, 40, -0.052, 0.015, -0.052, 0.015
O I, 180, -0.002, 0.007, -0.002,  0.007
Na I, 958, 0.015, 0.007, 0.000, 0.006
Mg I, 1336, -0.003, 0.005, -0.004, 0.007
Al I, 1653, 0.022, 0.003, 0.022, 0.003
Si I, 1310, 0.020, 0.002, 0.018, 0.003
S I, 664, -0.021, 0.007, -0.021, 0.007
K I, 1006, 0.044, 0.006, 0.044,  0.006
Ca I, 1517, 0.024, 0.005, 0.023, 0.007
Sc I, 1659, 0.007, 0.008, 0.007, 0.008
Sc II, 1659, 0.012, 0.006, 0.008, 0.006
Ti I, 1582, 0.004, 0.005, 0.003, 0.005
Ti II, 1582, 0.010, 0.006, 0.011, 0.006
V I, 1429, 0.002, 0.008, 0.002, 0.008
Cr I, 1296, -0.011, 0.005, -0.011, 0.005
Cr II, 1296, 0.007, 0.006, 0.007, 0.006
Mn I, 1158, -0.032, 0.008, -0.037, 0.008
Fe I, 1334, 0.015, 0.004, 0.014, 0.004
Fe II, 1334, 0.014, 0.006, 0.012, 0.006
Co I, 1352, -0.006, 0.007, -0.006, 0.007
Ni I, 1353, 0.007, 0.004, 0.006, 0.003
Cu I, 1037, -0.031, 0.006, -0.031, 0.005
Zn I, 726, -0.002, 0.007, -0.002, 0.007
Rb I, 800, 0.001, 0.015, 0.001, 0.015
Y II, 1659, -0.003, 0.008, -0.003, 0.009
Zr II, 1741, 0.019, 0.008, 0.019, 0.008
Ba II, 1455, 0.031, 0.006, 0.031, 0.006
